step,system_total_stopped,system_total_waiting_time,system_mean_speed,0_stopped,0_accumulated_waiting_time,0_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
5.0,0,0.0,1.5952224433732531,0,0.0,0.09569420776084302,0,0.0
10.0,0,0.0,3.1828767788716177,0,0.0,0.1909344198483274,0,0.0
15.0,0,0.0,4.990880855938551,0,0.0,0.29939297276176075,0,0.0
20.0,2,2.0,3.9765111250405862,2,2.0,0.23854295891065302,2,2.0
25.0,5,17.0,2.4347307235865356,5,17.0,0.14681426968863184,5,17.0
30.0,8,49.0,2.0168578602722254,8,49.0,0.12293150033111046,8,49.0
35.0,9,92.0,2.328798607035892,9,92.0,0.14268856066203278,9,92.0
40.0,14,147.0,1.8486412689698646,14,147.0,0.09379508487430487,14,147.0
45.0,16,215.0,1.4370777877375762,16,216.0,0.06673013920766972,16,216.0
50.0,19,300.0,0.9917009852142079,19,301.0,0.042066297092727786,19,301.0
55.0,22,403.0,0.6966385072661593,22,404.0,0.041862982635165205,22,404.0
60.0,26,520.0,0.8252864936829598,26,521.0,0.04987873491930976,26,521.0
65.0,28,643.0,0.7206380659174538,28,647.0,0.04299133301254286,28,647.0
70.0,30,785.0,0.7577934396649973,30,788.0,0.035833827980387346,30,788.0
75.0,31,938.0,1.0586997385360533,31,941.0,0.038870496284243404,31,941.0
80.0,32,1094.0,1.3338006783203211,32,1097.0,0.025713866651809504,32,1097.0
85.0,33,1255.0,0.8268584691799825,33,1258.0,0.01909343839794502,33,1258.0
90.0,34,1425.0,0.5546772343660565,34,1428.0,0.033555734624876044,34,1428.0
95.0,34,1595.0,0.5579211025165531,34,1598.0,0.023928344708828913,34,1598.0
100.0,35,1769.0,0.6732527110500647,35,1772.0,0.016536886320601626,35,1772.0
105.0,36,1947.0,0.5979752919575991,36,1950.0,0.02155411122623519,36,1950.0
110.0,36,2127.0,0.6865798562808939,36,2130.0,0.04118655406604043,36,2130.0
115.0,36,2307.0,0.9749423310698047,36,2310.0,0.034677053600021324,36,2310.0
120.0,36,2487.0,1.265816036021452,36,2490.0,0.020626132219668424,36,2490.0
125.0,36,2667.0,0.9270477445778535,36,2670.0,0.014742515228728456,36,2670.0
130.0,36,2847.0,0.5740180007300622,36,2850.0,0.002988645168108808,36,2850.0
135.0,36,3027.0,0.46501326637088564,36,3030.0,0.010994205508653175,36,3030.0
140.0,36,3207.0,0.3449595348345802,36,3210.0,0.020693433403394128,36,3210.0
145.0,36,3387.0,0.38731715226458013,36,3390.0,0.012799483765779197,36,3390.0
150.0,32,3059.0,0.358209516819811,32,3307.0,0.0018592797029447828,32,3307.0
155.0,24,2162.0,0.6952547291371436,24,3200.0,0.02095690090179691,24,3200.0
