step,system_total_stopped,system_total_waiting_time,system_mean_speed,0_stopped,0_accumulated_waiting_time,0_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
5.0,0,0.0,1.8118520205840474,0,0.0,0.10868938335837115,0,0.0
10.0,0,0.0,3.464517515276869,0,0.0,0.2078294850196082,0,0.0
15.0,0,0.0,5.214641578728333,0,0.0,0.3128159315373925,0,0.0
20.0,2,1.0,4.911223148488272,2,1.0,0.2538060918389851,2,1.0
25.0,2,6.0,5.487726338661593,2,6.0,0.22377741113360394,2,6.0
30.0,2,16.0,6.124983562250223,2,16.0,0.25001921474570626,2,16.0
35.0,2,26.0,6.081620901627127,2,26.0,0.2582792258964965,2,26.0
40.0,3,38.0,5.665675074742331,3,38.0,0.2152317282122044,3,38.0
45.0,4,54.0,4.822534847011037,4,54.0,0.16410880804998992,4,54.0
50.0,5,75.0,4.140627678659105,5,75.0,0.12971054791345185,5,75.0
55.0,5,100.0,4.137319382786019,5,100.0,0.17107665232712246,5,100.0
60.0,6,126.0,4.006987113506943,6,126.0,0.1487769021530767,6,126.0
65.0,8,157.0,4.173533658392305,8,157.0,0.1933527645331353,8,157.0
70.0,10,197.0,3.6029572839126023,10,197.0,0.1602672000626301,10,197.0
75.0,11,246.0,3.454290362380368,11,246.0,0.13341114941927912,11,246.0
80.0,11,301.0,3.5434080829957484,11,301.0,0.1336980458697056,11,301.0
85.0,11,356.0,3.568876997589964,11,356.0,0.12869580311221696,11,356.0
90.0,12,416.0,3.4928131082607243,12,416.0,0.12113705328960633,12,416.0
95.0,15,484.0,2.6239556614127575,15,484.0,0.09042988361656636,15,484.0
100.0,16,562.0,2.6452355312028937,16,562.0,0.08142780959424169,16,562.0
105.0,16,642.0,2.6228576916118826,16,642.0,0.08625956165613109,16,642.0
110.0,18,728.0,2.47257321156608,18,728.0,0.09627990241902673,18,728.0
115.0,21,829.0,2.4417813158210966,21,829.0,0.06050379776933693,21,829.0
120.0,17,580.0,1.9071717480787556,17,749.0,0.06229363579272348,17,749.0
125.0,9,146.0,1.9682461563533287,9,644.0,0.08705752699921356,9,644.0
130.0,5,22.0,2.4355636424840403,5,664.0,0.112414798747141,5,664.0
135.0,10,30.0,2.7796971864949476,10,684.0,0.10627050549420419,10,684.0
140.0,16,94.0,2.3962722301784916,16,747.0,0.09937096114611203,16,747.0
145.0,21,186.0,3.020596356049856,21,839.0,0.08115952465022458,21,839.0
150.0,20,209.0,2.5300490719769915,20,776.0,0.06817207944941889,20,776.0
155.0,13,141.0,2.3750919385779223,13,701.0,0.08737689744869,13,701.0
160.0,5,14.0,2.1026999735980447,5,720.0,0.09173489911431311,5,720.0
165.0,9,32.0,2.6374070167425314,9,735.0,0.09216008595587587,9,735.0
170.0,16,92.0,2.4893184307100387,16,786.0,0.10084837145633349,16,786.0
175.0,17,176.0,3.5788012791423345,17,869.0,0.0962587791376169,17,869.0
180.0,18,266.0,3.5901527166104708,18,959.0,0.08297318560857767,18,959.0
185.0,16,257.0,2.85976136750936,16,867.0,0.07764236837506479,16,867.0
190.0,13,137.0,1.8057528289623008,13,754.0,0.09214258839726597,13,754.0
195.0,5,6.0,2.235072075932755,5,764.0,0.10444260468642434,5,764.0
200.0,12,29.0,2.6576707333926723,12,781.0,0.09342917600907422,12,781.0
205.0,17,89.0,2.3630908006834273,17,838.0,0.09682359042494293,17,838.0
210.0,19,175.0,3.3444127488412483,19,924.0,0.08922265700233015,19,924.0
215.0,19,192.0,2.745239036263385,19,816.0,0.08081247918230355,19,816.0
220.0,13,110.0,1.8513205381067248,13,722.0,0.08730318111214028,13,722.0
225.0,7,21.0,2.1239325853221067,7,749.0,0.10015504930573484,7,749.0
230.0,10,36.0,2.74980092572961,10,767.0,0.10918994369116532,10,767.0
235.0,17,102.0,2.22185120224471,17,827.0,0.0892817596592189,17,827.0
240.0,22,201.0,2.990018404249384,22,926.0,0.07912470509214033,22,926.0
245.0,19,230.0,2.6845296371904888,19,835.0,0.06712246804180458,19,835.0
250.0,13,150.0,2.170687187379866,13,740.0,0.07808683898308223,13,740.0
255.0,6,32.0,2.0613512157414213,6,769.0,0.09411680975206319,6,769.0
260.0,10,36.0,2.484041585215028,10,792.0,0.08875313489113947,10,792.0
265.0,17,101.0,2.2710935432879493,17,853.0,0.09053527605739257,17,853.0
270.0,20,198.0,3.1607953928034758,20,948.0,0.08058553616388012,20,948.0
275.0,18,225.0,2.5768080341873207,18,848.0,0.06624267193260652,18,848.0
280.0,14,158.0,2.1740214584271915,14,741.0,0.0774133839405444,14,741.0
285.0,9,51.0,2.217114144322135,9,772.0,0.09654193172183065,9,772.0
290.0,9,38.0,2.8291512776115035,9,791.0,0.10256280105701697,9,791.0
295.0,15,99.0,2.4292273619431732,15,838.0,0.09021111328074752,15,838.0
300.0,19,185.0,3.32699937194894,19,924.0,0.08513120674806553,19,924.0
305.0,17,199.0,2.9825352095312665,17,817.0,0.0763985876523435,17,817.0
310.0,14,124.0,1.9300730472093137,14,734.0,0.08273624008259199,14,734.0
315.0,7,20.0,2.289714698778016,7,755.0,0.1030759876212118,7,755.0
320.0,10,35.0,2.7491272980230925,10,778.0,0.0954853903983771,10,778.0
325.0,16,100.0,2.5641344472478633,16,840.0,0.10601369961665447,16,840.0
330.0,19,186.0,3.314496670507394,19,926.0,0.087742935297759,19,926.0
335.0,19,206.0,2.817924493322325,19,849.0,0.08037486227700062,19,849.0
340.0,14,120.0,2.0831423799075846,14,759.0,0.0890528143580007,14,759.0
345.0,5,24.0,2.1571260483225596,5,785.0,0.09175073050223492,5,785.0
350.0,9,33.0,2.588128843977449,9,801.0,0.0862599482500481,9,801.0
