step,system_total_stopped,system_total_waiting_time,system_mean_speed,0_stopped,0_accumulated_waiting_time,0_average_speed,1_stopped,1_accumulated_waiting_time,1_average_speed,2_stopped,2_accumulated_waiting_time,2_average_speed,3_stopped,3_accumulated_waiting_time,3_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
5.0,0,0.0,2.0722801736245553,0,0.0,0.13158665060433855,0,0.0,0.10976254287492604,0,0.0,1.0,0,0.0,1.0,0,0.0
10.0,0,0.0,4.21759267495945,0,0.0,0.24096232464425651,0,0.0,0.28913286408989375,0,0.0,1.0,0,0.0,1.0,0,0.0
15.0,1,0.0,4.982161374948918,0,0.0,0.3315767195161228,0,0.0,0.46691257302690087,0,0.0,1.0,1,0.0,0.0,1,0.0
20.0,1,1.0,5.240686263704137,1,1.0,0.21810548703483973,0,0.0,0.4844737371543316,0,0.0,1.0,0,0.0,0.19912940566777176,1,1.0
25.0,0,0.0,6.353643126155665,0,1.0,0.24574656796577635,0,0.0,0.6685985869893504,0,0.0,0.8249491598595653,0,0.0,0.3605941512153204,0,1.0
30.0,1,2.0,3.846998763509894,0,0.0,0.3093310132055916,0,0.0,0.0064818699055542925,1,2.0,0.0007857453380142141,0,0.0,0.544719001050339,1,2.0
35.0,4,18.0,1.9567040529270028,1,3.0,0.00667455908993231,1,8.0,0.2399133592325159,1,7.0,0.0,1,3.0,0.14861810091072983,4,21.0
40.0,5,43.0,2.1687585099569704,2,13.0,0.03494201852070155,1,13.0,0.1301746863493449,1,12.0,0.0,1,8.0,0.2685482641275481,5,46.0
45.0,6,50.0,1.8216700771712384,0,9.0,0.16739505052304354,2,22.0,0.11565752540213217,2,17.0,0.0,2,14.0,0.1404137426774084,6,62.0
50.0,5,75.0,3.122780322972055,0,0.0,0.4784263182156587,2,32.0,0.23683592904636636,1,22.0,0.08661663215782456,2,27.0,0.12069318470755747,5,81.0
55.0,4,89.0,3.36965998145917,0,0.0,0.15361693069157142,2,42.0,0.2876102142434024,1,27.0,0.1800084199273682,1,26.0,0.22918143638716387,4,95.0
60.0,6,114.0,3.9711320523514564,1,5.0,0.26393054454154996,2,52.0,0.14620543644009154,2,35.0,0.2565523008436024,1,28.0,0.0,6,120.0
65.0,7,147.0,3.997320459309885,1,10.0,0.29759644951233666,4,70.0,0.032787349028866965,1,40.0,0.24748673477775898,1,33.0,0.34235678878839093,7,153.0
70.0,10,193.0,3.3677026705548383,3,22.0,0.11342999316855958,4,90.0,0.1949550044974142,2,46.0,0.17067366885412405,1,38.0,0.23246286921735707,10,196.0
75.0,9,230.0,3.5951393208315143,1,27.0,0.18222226223069965,4,110.0,0.24886641566809223,2,56.0,0.2621541108450577,2,47.0,0.05426622086625301,9,240.0
80.0,13,288.0,3.407097872268743,2,29.0,0.17852434921444318,6,137.0,0.0671475559378729,3,68.0,0.029220812277775933,2,57.0,0.2608420275594206,13,291.0
85.0,14,351.0,2.68268201032951,3,41.0,0.00040431188086918827,7,170.0,0.007895399858027355,2,76.0,0.2841708511108534,2,67.0,0.19768521747331663,14,354.0
90.0,16,428.0,2.2018306330701587,3,56.0,0.0,7,205.0,0.03243813329182418,2,86.0,0.17517708525004996,4,84.0,0.1465785929748258,16,431.0
95.0,13,470.0,1.5260517810860392,1,51.0,0.006493980666828764,7,243.0,0.09386720178764414,2,96.0,0.0,3,100.0,0.1158263217129942,13,490.0
100.0,14,537.0,1.9323870980163396,1,45.0,0.0,7,278.0,0.07747807502567806,2,109.0,0.09725852194521915,4,114.0,0.10644463510861764,14,546.0
105.0,14,607.0,2.1472275849120885,1,50.0,0.2939805615733611,7,310.0,0.0,2,119.0,0.1582913860354956,4,137.0,0.11087821129551882,14,616.0
110.0,15,682.0,2.3277583084580376,1,55.0,0.2959619905942043,7,345.0,0.0,2,126.0,0.0,5,162.0,0.1531026250467399,15,688.0
115.0,18,763.0,0.6372909258087033,2,63.0,0.004503323629444517,7,380.0,0.0,2,136.0,0.0,7,190.0,0.036743420389428336,18,769.0
120.0,19,858.0,0.9345458241788679,3,78.0,0.040621980939822486,7,415.0,0.0,2,146.0,0.0,7,225.0,0.06099807033597388,19,864.0
125.0,21,954.0,0.47759447156236323,3,93.0,0.11768778826846966,8,450.0,0.0,2,156.0,0.0,8,261.0,0.011017730889287283,21,960.0
130.0,20,1054.0,1.0679223425909874,3,108.0,0.1832587421208566,7,485.0,0.025190668210334707,2,166.0,0.0,8,301.0,0.03338726698204607,20,1060.0
135.0,21,1155.0,1.1658681866255378,4,124.0,0.05769299196779898,7,520.0,0.05146561330924592,2,176.0,0.0,8,341.0,0.05433004403413969,21,1161.0
140.0,22,1261.0,0.9885225997287989,4,144.0,0.08809807852906533,7,555.0,0.10387279507887517,2,186.0,0.0308617126342625,9,382.0,5.3814500041906736e-05,22,1267.0
145.0,25,1378.0,0.6887276691067961,4,164.0,0.04726922756217017,10,597.0,0.023436142710453033,2,196.0,0.08949111489971141,9,427.0,0.0,25,1384.0
150.0,22,1425.0,1.5066349608444594,4,184.0,0.10673796245278899,9,642.0,0.109358274046766,2,206.0,0.1840069903126146,7,431.0,0.0035337347811545006,22,1463.0
155.0,23,1536.0,1.7552861052079691,4,204.0,0.15108484325461546,10,688.0,0.06896653831029695,2,216.0,0.15554920895037253,7,431.0,0.0,23,1539.0
160.0,25,1655.0,1.5753524789864604,4,224.0,0.01596637331812715,12,742.0,0.04171603467408098,2,229.0,0.20440749473264747,7,466.0,0.10507609623767536,25,1661.0
165.0,27,1789.0,1.5298490151196709,5,249.0,7.871756200472025e-06,12,802.0,0.0,2,239.0,0.39686763156920535,8,505.0,0.022400042548038478,27,1795.0
170.0,28,1929.0,1.2985684455350006,5,274.0,0.0,12,862.0,0.006229649396521874,2,246.0,0.12385873744385091,9,550.0,0.0,28,1932.0
175.0,30,2073.0,0.9474066122544796,5,299.0,0.0063021727294769675,12,922.0,0.018501764886738915,4,260.0,0.08252542770313687,9,595.0,0.0,30,2076.0
180.0,29,2218.0,0.8428325024625176,5,324.0,0.043254071535418576,12,982.0,0.03127551594743334,3,275.0,0.17554717594240965,9,640.0,0.0,29,2221.0
185.0,30,2365.0,0.8408509064971099,5,349.0,0.07558432941125186,12,1042.0,0.0,4,292.0,0.10664676939842628,9,685.0,0.0,30,2368.0
190.0,32,2520.0,0.4224727456908785,6,375.0,0.0009798015498923434,12,1102.0,0.0,5,316.0,0.12069614790477486,9,730.0,0.003628724664740206,32,2523.0
195.0,34,2687.0,0.09759076723387518,6,405.0,0.0,12,1162.0,0.0,7,348.0,3.6810437351295555e-05,9,775.0,0.020464202455604187,34,2690.0
200.0,31,2551.0,0.3437051331335178,6,435.0,0.0,9,1038.0,0.016914474117373554,7,383.0,0.0,9,820.0,0.040906817493619456,31,2676.0
205.0,29,2537.0,0.6533100256303894,6,465.0,0.0,7,1074.0,0.05897404982293338,7,418.0,0.0,9,865.0,0.021960951854265186,29,2822.0
210.0,34,2697.0,0.7258118558535603,7,495.0,0.0,10,1119.0,0.06566600500695122,7,456.0,0.05244966444124181,10,915.0,0.0,34,2985.0
215.0,35,2864.0,0.6282027869576327,7,525.0,0.021496177257117423,11,1171.0,0.04004768811617647,7,491.0,0.02844541072901597,10,965.0,0.0,35,3152.0
220.0,36,3033.0,0.2648043223843378,6,555.0,0.0656603283189342,11,1220.0,0.0001798314067564525,9,531.0,0.0,10,1015.0,0.0,36,3321.0
225.0,35,3208.0,0.5481484145173103,6,585.0,0.1014803146785405,11,1275.0,0.0,8,571.0,0.01740318900187147,10,1065.0,0.0,35,3496.0
230.0,35,3383.0,0.8946521017983954,6,615.0,0.09977660254966203,11,1330.0,0.04593293927582836,8,611.0,0.03899926040005002,10,1115.0,0.006869461376425379,35,3671.0
