step,system_total_stopped,system_total_waiting_time,system_mean_speed,0_stopped,0_accumulated_waiting_time,0_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
5.0,0,0.0,1.7064066477740802,0,0.0,0.10587758317867052,0,0.0
10.0,0,0.0,3.273857687305038,0,0.0,0.20055545464812155,0,0.0
15.0,0,0.0,5.117057469394058,0,0.0,0.3130572566830941,0,0.0
20.0,3,3.0,3.9608599640356883,3,3.0,0.23952481523379532,3,3.0
25.0,6,22.0,2.3426627341540427,6,22.0,0.1415034155768764,6,22.0
30.0,7,54.0,2.0105124551594358,7,54.0,0.12062506484758852,7,54.0
35.0,10,97.0,2.141171375314721,10,97.0,0.12859063364011492,10,97.0
40.0,13,150.0,1.4903003509740604,13,150.0,0.08964326949204171,13,150.0
45.0,17,226.0,0.9894018092110586,17,226.0,0.05935307486252716,17,226.0
50.0,20,314.0,0.9070582596592037,20,314.0,0.04159466023299507,20,314.0
55.0,22,416.0,1.020698528847963,22,416.0,0.045139900991689144,22,416.0
60.0,25,532.0,1.212780241768596,25,532.0,0.05581600560751779,25,532.0
65.0,29,664.0,0.7982716775438233,29,665.0,0.03526722845011271,29,665.0
70.0,26,649.0,1.038038008850512,26,719.0,0.04072208273414464,26,719.0
75.0,26,774.0,1.4041949843925057,26,778.0,0.04221320252254727,26,778.0
80.0,26,904.0,2.0377295572490173,26,908.0,0.043889812925196114,26,908.0
85.0,28,1041.0,1.9340368720513252,28,1045.0,0.03917950612040187,28,1045.0
90.0,29,1186.0,0.8676614475123856,29,1190.0,0.03786294363612172,29,1190.0
95.0,30,1333.0,0.9150336617748961,30,1337.0,0.03849012630771336,30,1337.0
100.0,31,1485.0,0.4161060081910935,31,1489.0,0.02496136821782204,31,1489.0
105.0,23,887.0,0.7844093223601837,23,1459.0,0.03986679296099786,23,1459.0
110.0,15,521.0,1.87123380646422,15,1249.0,0.07680899148259883,15,1249.0
115.0,10,288.0,3.161582362050233,10,1165.0,0.12235021292935586,10,1165.0
120.0,13,348.0,3.9576966463445764,13,975.0,0.13721238609133218,13,975.0
125.0,15,420.0,4.067705683875077,15,764.0,0.12791785572826223,15,764.0
130.0,15,495.0,4.169895363489161,15,589.0,0.10247963974192777,15,589.0
135.0,15,570.0,3.8101515513966535,15,573.0,0.10222021446129766,15,573.0
140.0,16,645.0,3.5199970503548235,16,649.0,0.09805432241536931,16,649.0
145.0,18,728.0,2.5812040297225054,18,733.0,0.07469080209115524,18,733.0
150.0,19,816.0,1.7148953403971048,19,821.0,0.05946106366597534,19,821.0
155.0,22,920.0,1.0750380608066712,22,925.0,0.05194180604929799,22,925.0
160.0,24,1032.0,1.1880391218681867,24,1037.0,0.05737177444124485,24,1037.0
165.0,27,1149.0,1.2937318966781601,27,1156.0,0.061109183685131074,27,1156.0
