step,system_total_stopped,system_total_waiting_time,system_mean_speed,0_stopped,0_accumulated_waiting_time,0_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
5.0,0,0.0,1.75796332443133,0,0.0,0.10545670812425494,0,0.0
10.0,0,0.0,3.231459055437396,0,0.0,0.19384877357152944,0,0.0
15.0,0,0.0,5.137036479276139,0,0.0,0.3081605566452392,0,0.0
20.0,1,0.0,4.949510800496608,1,0.0,0.2685205089714633,1,0.0
25.0,4,10.0,3.8049153918094376,4,10.0,0.1626513937752748,4,10.0
30.0,5,31.0,3.4416887744608733,5,31.0,0.17031933287374343,5,31.0
35.0,7,62.0,2.4129500138996844,7,62.0,0.14636772799402048,7,62.0
40.0,9,105.0,2.2288407946568487,9,105.0,0.11114853168001476,9,105.0
45.0,13,161.0,1.5707408268105956,13,161.0,0.0736340365178293,13,161.0
50.0,6,30.0,1.4258140665274863,6,158.0,0.07668513622706051,6,158.0
55.0,2,16.0,2.6467028540659983,2,100.0,0.11763163683421783,2,100.0
60.0,2,26.0,4.357021927047937,2,60.0,0.1781094768168228,2,60.0
65.0,3,41.0,5.741292675262766,3,52.0,0.23462267414389815,3,52.0
70.0,6,61.0,6.015576924680123,6,61.0,0.2330463574982509,6,61.0
75.0,7,91.0,6.159785607025635,7,91.0,0.16407359293838578,7,91.0
80.0,9,129.0,4.646081470202615,9,129.0,0.12386808904302986,9,129.0
85.0,9,169.0,3.8202674024224748,9,169.0,0.14216185661789862,9,169.0
90.0,11,216.0,2.2379083134451156,11,216.0,0.0843214730547891,11,216.0
95.0,3,32.0,2.484247278882642,3,160.0,0.14508903396321493,3,160.0
100.0,3,26.0,3.332303267287916,3,76.0,0.16938874838532933,3,76.0
105.0,5,46.0,4.5443959621232315,5,65.0,0.2010881335936122,5,65.0
110.0,7,75.0,5.255138620128778,7,76.0,0.20731697883921862,7,76.0
115.0,9,116.0,4.840268828678348,9,117.0,0.15381802655083002,9,117.0
120.0,11,167.0,3.638790590776762,11,168.0,0.09006685821829058,11,168.0
125.0,14,230.0,2.2303092727287797,14,231.0,0.06133264425889825,14,231.0
130.0,16,308.0,1.4476622035968407,16,309.0,0.039600442024633316,16,309.0
135.0,20,400.0,0.869487399659817,20,401.0,0.027984174902509564,20,401.0
140.0,13,145.0,1.0729170593433743,13,386.0,0.055927183776534765,13,386.0
145.0,6,52.0,2.24414784006915,6,328.0,0.0935997020138651,6,328.0
150.0,2,5.0,4.225783687149079,2,226.0,0.15470242095739845,2,226.0
155.0,2,15.0,6.06992211772113,2,151.0,0.23590946299979412,2,151.0
160.0,3,25.0,6.302875285374738,3,83.0,0.2481031017075089,3,83.0
165.0,4,35.0,6.495956422081384,4,51.0,0.2298824354547109,4,51.0
170.0,2,45.0,7.018276112462057,2,45.0,0.2210600916816477,2,45.0
175.0,3,56.0,6.014597447374209,3,56.0,0.24190415012424787,3,56.0
180.0,6,74.0,2.386415470126525,6,74.0,0.14662364204950407,6,74.0
185.0,5,18.0,2.4264866164300174,5,59.0,0.14189276968461367,5,59.0
190.0,6,41.0,2.8369554731230133,6,42.0,0.14218369966446534,6,42.0
195.0,8,69.0,3.2754974932897962,8,69.0,0.09983064016927569,8,69.0
200.0,11,111.0,3.2575535286310893,11,111.0,0.1028041279435941,11,111.0
205.0,14,164.0,1.8531326033453324,14,164.0,0.087324113500714,14,164.0
210.0,16,229.0,1.9924712873490327,16,229.0,0.09926409473610671,16,229.0
215.0,18,307.0,1.6893029509882203,18,307.0,0.059961842074086294,18,307.0
