step,system_total_stopped,system_total_waiting_time,system_mean_speed,0_stopped,0_accumulated_waiting_time,0_average_speed,1_stopped,1_accumulated_waiting_time,1_average_speed,2_stopped,2_accumulated_waiting_time,2_average_speed,3_stopped,3_accumulated_waiting_time,3_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
5.0,0,0.0,1.0895406886935235,0,0.0,1.0,0,0.0,0.06535936944772186,0,0.0,1.0,0,0.0,1.0,0,0.0
10.0,0,0.0,3.799799717124552,0,0.0,1.0,0,0.0,0.22794239454856338,0,0.0,1.0,0,0.0,1.0,0,0.0
15.0,0,0.0,6.413776923343538,0,0.0,1.0,0,0.0,0.3847496654675187,0,0.0,1.0,0,0.0,1.0,0,0.0
20.0,0,0.0,5.73008495420218,0,0.0,1.0,0,0.0,0.34373634998213437,0,0.0,1.0,0,0.0,1.0,0,0.0
25.0,0,0.0,7.1252774063698965,0,0.0,1.0,0,0.0,0.32252106354664056,0,0.0,1.0,0,0.0,1.0,0,0.0
30.0,0,0.0,9.849246180217342,0,0.0,1.0,0,0.0,0.4839442188593982,0,0.0,1.0,0,0.0,1.0,0,0.0
35.0,0,0.0,5.670724139455706,0,0.0,0.6557107777024681,0,0.0,0.0246400488669027,0,0.0,1.0,0,0.0,1.0,0,0.0
40.0,0,0.0,4.908876295098722,0,0.0,0.7272338211886508,0,0.0,0.23318121214210094,0,0.0,0.09594449339335058,0,0.0,0.1215352051532154,0,0.0
45.0,1,2.0,4.075969250652313,1,2.0,0.0010829001703838478,0,0.0,0.4324186449824655,0,0.0,0.2557681615050406,0,0.0,0.2887673060961143,1,2.0
50.0,0,0.0,4.5034520476870235,0,0.0,1.0,0,0.0,0.1553624845989804,0,0.0,0.2225359405899877,0,0.0,0.4648544408334055,0,0.0
55.0,0,0.0,5.202090685844548,0,0.0,1.0,0,0.0,0.32260707810847394,0,0.0,0.13007161008690113,0,0.0,1.0,0,0.0
60.0,2,4.0,5.403425405667692,1,0.0,0.0,0,0.0,0.5120061582203531,1,4.0,0.3382317715531588,0,3.0,0.4040516289727607,2,7.0
65.0,3,12.0,3.9274005246759063,0,0.0,0.156163299589205,1,2.0,0.00011148462946452845,2,10.0,0.23156723659866782,0,3.0,0.5666346540736024,3,15.0
70.0,4,24.0,2.1409636784145802,0,0.0,0.3244628264089955,0,0.0,1.0,3,22.0,0.12218321380944981,1,5.0,0.0009905082261890625,4,27.0
75.0,2,26.0,2.2786899095704323,0,0.0,0.4784344691653574,0,0.0,1.0,1,21.0,0.014468838782263297,1,10.0,0.0,2,31.0
80.0,3,37.0,2.7131091167036945,1,1.0,0.003471956548399936,0,0.0,1.0,1,27.0,0.21227753208972264,1,15.0,0.0,3,43.0
85.0,4,52.0,3.6784615558666687,1,6.0,0.0,1,0.0,0.19107357227289698,1,32.0,0.2783104028560395,1,23.0,0.21147252301823502,4,61.0
90.0,4,69.0,3.9133391879742243,1,11.0,0.0,0,0.0,0.35804899513858746,2,39.0,0.0008330533753342114,1,28.0,0.29508857348968454,4,78.0
95.0,5,90.0,0.8373833895040262,1,16.0,0.0,0,0.0,0.17580412894691286,2,49.0,3.076623054921411e-06,2,34.0,8.143156132460303e-06,5,99.0
100.0,5,88.0,1.4751388787691084,1,21.0,0.0,1,5.0,0.2803595738187119,2,59.0,0.0,1,9.0,0.0,5,94.0
105.0,5,90.0,0.6684438748469029,0,0.0,1.0,2,13.0,6.13496242222771e-05,2,69.0,0.0,1,14.0,0.0,5,96.0
110.0,3,69.0,1.7657119323957755,1,0.0,0.0,1,15.0,0.0,1,54.0,0.0,0,0.0,1.0,3,69.0
115.0,2,79.0,3.7792399765916214,0,0.0,0.156163299589205,1,20.0,0.0,1,59.0,0.0,0,6.0,0.3194828833166754,2,85.0
120.0,2,89.0,5.196873865195902,0,0.0,0.3244628264089955,1,25.0,0.0,1,67.0,0.22324669529874488,0,6.0,0.5114397346463901,2,98.0
125.0,3,101.0,4.21088151495693,0,0.0,0.5010185961516034,1,30.0,0.0,1,72.0,0.269330644527036,1,8.0,0.08736704270924231,3,110.0
130.0,4,118.0,0.6893407123659714,1,2.0,2.2260079507336672e-05,1,35.0,0.0,1,74.0,0.0,1,10.0,0.05319255799162367,4,121.0
135.0,3,131.0,2.16797136505555,0,2.0,0.242628468730973,1,40.0,0.0,1,79.0,0.0,1,16.0,0.19641791470325898,3,137.0
140.0,3,146.0,3.784627204090571,0,2.0,0.4109279955507635,1,45.0,0.0,1,84.0,0.0,1,24.0,0.294574396262789,3,155.0
145.0,4,112.0,2.457592692815724,0,2.0,0.37103163576419323,1,0.0,0.0,1,89.0,0.0,2,30.0,0.12603251704890445,4,121.0
