step,system_total_stopped,system_total_waiting_time,system_mean_speed,0_stopped,0_accumulated_waiting_time,0_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
5.0,0,0.0,1.8159630084720748,0,0.0,0.10916033969719867,0,0.0
10.0,0,0.0,3.4139993625848235,0,0.0,0.20505649556948716,0,0.0
15.0,0,0.0,5.192686566687188,0,0.0,0.311798513469208,0,0.0
20.0,3,3.0,3.701039529494675,3,3.0,0.22201902445879612,3,3.0
25.0,6,19.0,2.407932650316803,6,19.0,0.14507588731805532,6,19.0
30.0,7,50.0,2.0852174110190367,7,50.0,0.12632089547352462,7,50.0
35.0,10,93.0,2.3027640642172753,10,93.0,0.13979071209659755,10,93.0
40.0,14,149.0,1.4954705402094415,14,149.0,0.0897143061122661,14,149.0
45.0,18,226.0,1.0545962613043078,18,226.0,0.06341929265440667,18,226.0
50.0,20,316.0,0.9397814146714137,20,316.0,0.045190055809076715,20,316.0
55.0,22,419.0,0.8998469637436433,22,419.0,0.039024488058422305,22,419.0
60.0,25,535.0,1.21255408319322,25,535.0,0.05783817649407599,25,535.0
65.0,29,671.0,0.8157364850736928,29,671.0,0.0395353636778276,29,671.0
70.0,31,820.0,1.0091496362663464,31,821.0,0.048536763956518264,31,821.0
75.0,32,977.0,0.7973631296247508,32,978.0,0.037588185775184545,32,978.0
80.0,33,1138.0,0.8992621502726157,33,1139.0,0.025657370890848553,33,1139.0
85.0,34,1306.0,0.5475030892818008,34,1307.0,0.018544140945327987,34,1307.0
90.0,35,1479.0,0.7755492122703183,35,1480.0,0.03278348964840588,35,1480.0
95.0,35,1654.0,0.531257186168003,35,1655.0,0.022069594987971702,35,1655.0
100.0,36,1834.0,0.6640722172672301,36,1835.0,0.016817798136719988,36,1835.0
105.0,33,1718.0,0.6353560836249302,33,1862.0,0.02351562173733979,33,1862.0
110.0,27,1711.0,1.2637492180756087,27,1863.0,0.061425909242930773,27,1863.0
115.0,29,1849.0,1.4121114228557092,29,2001.0,0.04702697628398472,29,2001.0
120.0,33,2010.0,1.718858074614122,33,2162.0,0.02216532074640759,33,2162.0
125.0,33,2175.0,1.203890833107023,33,2327.0,0.01404315702506878,33,2327.0
130.0,33,2340.0,1.2745136894285218,33,2492.0,0.003161887110185091,33,2492.0
135.0,33,2505.0,0.4995430758930221,33,2657.0,0.009743370597819576,33,2657.0
140.0,29,2567.0,0.4329586839306073,29,2689.0,0.02355097125035853,29,2689.0
145.0,27,2656.0,0.8228807486059441,27,2739.0,0.026097691586531982,27,2739.0
150.0,28,2792.0,0.8104200224590811,28,2875.0,0.0009301282123512257,28,2875.0
155.0,29,2937.0,1.309189368515387,29,3020.0,0.0,29,3020.0
160.0,29,3082.0,0.4672891229484715,29,3165.0,0.003097175632893649,29,3165.0
165.0,30,3227.0,0.7474399461614609,30,3310.0,0.010306429715146738,30,3310.0
170.0,27,3331.0,0.4267308839517031,27,3388.0,0.026334604595195713,27,3388.0
175.0,27,3466.0,0.5362091257886434,27,3467.0,0.019986624094571685,27,3467.0
180.0,28,3604.0,0.763381055463493,28,3605.0,0.02237353078110281,28,3605.0
185.0,28,3744.0,1.021005041812618,28,3745.0,0.010446409954907195,28,3745.0
190.0,28,3884.0,0.6918000504251528,28,3885.0,0.02115101265052281,28,3885.0
195.0,28,4024.0,0.4535747807136678,28,4025.0,0.012708289606857598,28,4025.0
200.0,27,4141.0,0.8136901907675407,27,4142.0,0.028876012790269537,27,4142.0
205.0,28,4278.0,0.5946459502914287,28,4279.0,0.02832940138783053,28,4279.0
210.0,27,4411.0,1.0069539957407887,27,4412.0,0.0364535128784655,27,4412.0
215.0,28,4547.0,1.2337098813357381,28,4548.0,0.04441991184149367,28,4548.0
220.0,27,4681.0,1.4360316046454191,27,4683.0,0.06000432715885837,27,4683.0
225.0,28,4818.0,1.5828050071302322,28,4819.0,0.05364735141166953,28,4819.0
230.0,28,4953.0,1.1807556426018668,28,4954.0,0.026277657966039324,28,4954.0
235.0,28,5093.0,1.4327012746336525,28,5094.0,0.038840832678137024,28,5094.0
240.0,30,5233.0,1.3907623771859932,30,5234.0,0.04486813264897978,30,5234.0
245.0,31,5380.0,1.2096982703899326,31,5381.0,0.032607523482980745,31,5381.0
250.0,32,5535.0,1.0358006659723749,32,5536.0,0.03246995832795835,32,5536.0
255.0,33,5694.0,0.94273604422918,33,5695.0,0.043256644498126405,33,5695.0
260.0,32,5854.0,0.9171262226750861,32,5855.0,0.02900514107602631,32,5855.0
265.0,32,6014.0,1.2446879810913445,32,6015.0,0.029805655202906026,32,6015.0
