step,system_total_stopped,system_total_waiting_time,system_mean_speed,0_stopped,0_accumulated_waiting_time,0_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
5.0,0,0.0,1.639089522386591,0,0.0,0.09832570620195503,0,0.0
10.0,0,0.0,3.0730769047396307,0,0.0,0.1843477447354307,0,0.0
15.0,0,0.0,4.926940525274825,0,0.0,0.295557320052479,0,0.0
20.0,2,2.0,4.605732761803691,2,2.0,0.2638102132587602,2,2.0
25.0,4,12.0,3.918755385069779,4,12.0,0.17925090643531116,4,12.0
30.0,5,32.0,3.5136748549703953,5,32.0,0.14557237698892447,5,32.0
35.0,8,65.0,2.5430925560661493,8,65.0,0.1587746651852381,8,65.0
40.0,10,107.0,2.0935074400701903,10,107.0,0.10611228330613946,10,107.0
45.0,14,167.0,1.6051803795446722,14,167.0,0.07372075068597841,14,167.0
50.0,16,241.0,0.857474506821771,16,242.0,0.037588431496208455,16,242.0
55.0,19,329.0,1.0812337720731473,19,330.0,0.04732499179698221,19,330.0
60.0,22,428.0,0.9938291518685015,22,430.0,0.05961782554700067,22,430.0
65.0,25,545.0,1.1334988949993616,25,548.0,0.05533564140790283,25,548.0
70.0,24,643.0,1.1177200926857136,24,650.0,0.05113091240216054,24,650.0
75.0,26,771.0,0.9873238602700132,26,778.0,0.0439306006625923,26,778.0
80.0,24,673.0,1.1925835549408959,24,787.0,0.03784156441692614,24,787.0
85.0,16,335.0,2.0241128139128852,16,775.0,0.06161910054320307,16,775.0
90.0,10,101.0,2.015942221675968,10,790.0,0.08747474444058471,10,790.0
95.0,14,101.0,2.4757819503562564,14,836.0,0.08727095147569275,14,836.0
100.0,22,194.0,1.0204592224813878,22,919.0,0.033952790254373866,22,919.0
105.0,29,326.0,0.9828697142462011,29,1051.0,0.02642311606023877,29,1051.0
110.0,28,401.0,1.2144892394330449,28,1064.0,0.05225068546465364,28,1064.0
115.0,21,360.0,1.2861890173291644,21,1045.0,0.05994154240229566,21,1045.0
120.0,15,318.0,2.224871610693207,15,1011.0,0.0872035379997792,15,1011.0
125.0,15,344.0,3.5016031150709686,15,862.0,0.10492763477857024,15,862.0
