step,system_total_stopped,system_total_waiting_time,system_mean_speed,0_stopped,0_accumulated_waiting_time,0_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
5.0,0,0.0,1.5800067401801547,0,0.0,0.09478144812118505,0,0.0
10.0,0,0.0,2.915684261904921,0,0.0,0.17511236991253676,0,0.0
15.0,1,0.0,4.718004124205944,1,0.0,0.2846019897019027,1,0.0
20.0,3,1.0,4.733116868859633,3,1.0,0.2527095016368062,3,1.0
25.0,4,7.0,4.796888799961578,4,7.0,0.1936937168772592,4,7.0
30.0,2,2.0,4.368126916289441,2,7.0,0.2122809763352795,2,7.0
35.0,5,15.0,3.32701084937422,5,15.0,0.19767615858072768,5,15.0
40.0,3,9.0,3.191046507291873,3,20.0,0.18060030763090437,3,20.0
45.0,2,9.0,3.7430485717075777,2,16.0,0.17855400240085148,2,16.0
50.0,2,19.0,4.140978880190987,2,19.0,0.18768554817379493,2,19.0
55.0,3,9.0,4.333500898805525,3,21.0,0.16313730518497266,3,21.0
60.0,7,38.0,3.90139684714611,7,39.0,0.1766294315367008,7,39.0
65.0,5,30.0,3.3438506459118056,5,51.0,0.17200857938433212,5,51.0
70.0,1,4.0,3.8746232251069093,1,40.0,0.16004270963059442,1,40.0
75.0,3,17.0,3.760572730292196,3,36.0,0.17943092127322607,3,36.0
80.0,5,38.0,5.040607586820142,5,40.0,0.18894178063359468,5,40.0
85.0,5,14.0,3.889564520087849,5,38.0,0.13654828980086953,5,38.0
90.0,10,42.0,2.8565102484123717,10,51.0,0.1375915689444811,10,51.0
95.0,10,47.0,2.6332797787749516,10,74.0,0.1191618185125626,10,74.0
100.0,7,24.0,3.016558514076871,7,87.0,0.10420792381177199,7,87.0
105.0,7,48.0,2.9623729390117814,7,96.0,0.13242451641247835,7,96.0
110.0,7,31.0,3.486502153161493,7,98.0,0.13897880884059297,7,98.0
115.0,10,49.0,2.499702853234586,10,112.0,0.10182523477191044,10,112.0
120.0,15,112.0,2.5442923745588626,15,156.0,0.08835984388022078,15,156.0
125.0,17,189.0,3.3735899085403007,17,232.0,0.05102573193828283,17,232.0
130.0,19,276.0,2.5517443674891678,19,319.0,0.016400051808101834,19,319.0
135.0,24,379.0,1.4780167215049824,24,422.0,0.01457373073259746,24,422.0
140.0,24,491.0,0.3360265430837345,24,535.0,0.020157561072809502,24,535.0
145.0,20,460.0,0.687134075486041,20,558.0,0.038703736661478035,20,558.0
150.0,12,231.0,1.334352757362533,12,547.0,0.0558965798262183,12,547.0
155.0,5,63.0,2.798259241256272,5,508.0,0.10794965131467557,5,508.0
160.0,3,18.0,5.0222093412320445,3,382.0,0.19038454266541552,3,382.0
165.0,3,28.0,6.246252436053357,3,205.0,0.22859397580514867,3,205.0
170.0,2,38.0,7.041134731701178,2,119.0,0.2703076434643163,2,119.0
175.0,2,48.0,7.120166677589559,2,49.0,0.20602509357953872,2,49.0
180.0,3,63.0,6.036701677027498,3,64.0,0.15448122843299025,3,64.0
185.0,4,82.0,5.029459087903856,4,83.0,0.1868194082549512,4,83.0
190.0,4,102.0,4.52653360057867,4,103.0,0.16946031739624956,4,103.0
195.0,4,122.0,4.292300698131227,4,123.0,0.15995846495111282,4,123.0
200.0,5,146.0,3.746273339667022,5,147.0,0.13940377965822168,5,147.0
205.0,6,175.0,4.224459200533411,6,176.0,0.14497860754867062,6,176.0
210.0,7,205.0,4.046109969341974,7,206.0,0.14609965271764183,7,206.0
215.0,9,242.0,3.407187590289895,9,243.0,0.15455672055415265,9,243.0
220.0,10,286.0,3.36744360536003,10,288.0,0.15741020560664323,10,288.0
225.0,13,340.0,3.3003486379746994,13,342.0,0.13375967719472212,13,342.0
230.0,14,406.0,3.1050712069548205,14,408.0,0.10153559369853958,14,408.0
235.0,16,483.0,2.703929629839225,16,484.0,0.10510885617693387,16,484.0
240.0,17,563.0,2.8199920087045136,17,564.0,0.09285074756770499,17,564.0
245.0,17,647.0,2.786932757410854,17,648.0,0.0874988215827785,17,648.0
250.0,17,732.0,2.740707257116425,17,733.0,0.08383684106842089,17,733.0
255.0,18,818.0,2.467499425376171,18,819.0,0.06287966327518738,18,819.0
260.0,15,579.0,1.9431391858853735,15,733.0,0.07531189788525938,15,733.0
265.0,9,252.0,1.871328796142775,9,631.0,0.0964523845505298,9,631.0
270.0,6,107.0,2.9025526138214386,6,545.0,0.12759819915553242,6,545.0
275.0,8,60.0,4.153725338353612,8,380.0,0.14571092453327664,8,380.0
280.0,10,103.0,4.398840163071615,10,312.0,0.14236230670405806,10,312.0
285.0,13,158.0,3.5074473913221627,13,277.0,0.12472425077944228,13,277.0
290.0,15,225.0,2.8243179312762576,15,225.0,0.07463341639973205,15,225.0
295.0,19,309.0,2.233207619562657,19,309.0,0.06638523443376299,19,309.0
300.0,21,405.0,1.7825456271320261,21,405.0,0.0513859127351478,21,405.0
305.0,25,518.0,1.0281555413048715,25,518.0,0.04359872477930562,25,518.0
310.0,25,638.0,1.3806259941785606,25,638.0,0.04875991241822568,25,638.0
315.0,22,550.0,1.2255762147751217,22,649.0,0.05729779314978432,22,649.0
320.0,16,310.0,1.3392400638392559,16,635.0,0.06006130673908775,16,635.0
325.0,9,98.0,2.553291941946448,9,596.0,0.10791172757175109,9,596.0
330.0,7,54.0,4.320983581179067,7,459.0,0.17445323464658855,7,459.0
335.0,9,87.0,5.056468281624979,9,321.0,0.19602302197286958,9,321.0
340.0,11,131.0,5.131901933875563,11,224.0,0.1715494983454706,11,224.0
345.0,13,187.0,4.698768820578651,13,188.0,0.1206377018211342,13,188.0
350.0,13,250.0,3.5257028178746745,13,251.0,0.08946764049520772,13,251.0
355.0,16,323.0,2.401651066842262,16,324.0,0.06908516035920469,16,324.0
360.0,17,407.0,2.0808575984268307,17,408.0,0.07653209053844426,17,408.0
365.0,18,492.0,2.0805984281816547,18,493.0,0.0662564786037546,18,493.0
